Prime,Target,Condition
COLLAR,bite,fear
DOG,pain,fear
CANINE,escape,fear
TAIL,attack,fear
PAWS,stress,fear
CLAWS,death,fear
WAG,injury,fear
PIT BULL,bleed,fear
BARK,cower,fear
PUPPY,fright,fear
PACK,safe,positive.seen
KENNEL,friendly,positive.seen
POOCH,gentle,positive.seen
BREED,calm,positive.seen
LITTER,docile,positive.seen
STRAY,curious,positive.unseen
WOLF,good,positive.unseen
SHEPHERD,pleasant,positive.unseen
RETRIEVER,loving,positive.unseen
DINGO,buddy,positive.unseen
BREAD,baker,neutral
PLUM,prune,neutral
OCEAN,ship,neutral
TOOL,hammer,neutral
TOY,ball,neutral
SPORT,field,neutral
MUSIC,dancing,neutral
SHOW,television,neutral
SOCKS,shoes,neutral
CASHIER,dollar,neutral
BALNOP,plenbil,pseudo
PREMY,saltaren,pseudo
TERWAN,drintle,pseudo
FULMING,defore,pseudo
MILITY,clodium,pseudo
OUTRAL,spators,pseudo
APPERS,frical,pseudo
KERATOR,reting,pseudo
TRILLAS,copic,pseudo
SAULTIC,miliac,pseudo
ZECHING,creting,pseudo
KALIA,napase,pseudo
STAMING,ungings,pseudo
BACTER,jettise,pseudo
POULY,explume,pseudo
TALEON,sacles,pseudo
BEEZE,tetee,pseudo
PETROTS,strial,pseudo
MALATED,apeably,pseudo
ALENCE,retats,pseudo
